hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10,account_1,account_2,account_3,account_4,account_5,account_6,account_7,account_8,account_9,account_10,is_win
121,98,8,18,29,38,109,103,86,111,169141480,181716137,250733860,111473138,104888934,34726076,162539779,140666974,108997922,140411011,1
43,48,61,86,100,94,68,20,62,38,221666230,87285329,73562326,86698277,86727555,86745912,25907144,87177591,87382579,111620041,0
3,106,31,99,78,47,77,26,58,55,86792034,112377459,86767849,133829277,101450083,104963314,96429099,102020930,131380551,104109762,1
28,34,112,8,58,54,55,89,87,9,121917409,113457795,119576842,126417273,101598503,113825167,121052479,108717482,93670407,89268488,0
45,25,22,1,39,52,59,86,47,89,39120272,82859227,131682693,115063396,42861664,188384233,96738880,86747351,77919067,84534206,0
20,84,77,78,63,15,101,7,13,82,84677534,86919603,85937380,84853828,102304762,87063175,100704400,100809398,104274175,105607485,1
87,53,100,95,19,29,54,43,89,64,85008179,87063175,105045291,86822085,85937380,298882097,164685175,153836240,349310876,94923783,1
7,21,85,11,23,99,66,49,3,52,84079967,245659892,144205561,115472517,178053099,86802844,134556694,106573901,91460772,92423451,0
78,42,101,74,8,9,32,7,51,87,108072218,153946438,122798735,120303454,115247153,115423859,209640209,103072159,133760235,114372425,1
48,112,55,39,51,27,49,108,23,77,53908693,92393372,115613584,107925680,117791363,91730177,124553723,113874152,86940305,211531481,0
16,88,1,47,79,4,76,68,65,7,89249333,93616251,91644707,121052479,89330493,90547237,91359611,86827378,66598119,38271450,0
46,95,9,7,104,29,101,106,22,8,59463394,194521913,99672424,100175472,109455705,205139667,196054150,195973746,102233625,195454861,1
84,96,87,8,21,26,63,107,48,76,161517782,130856274,201458115,150146383,107887080,186059917,209454589,116785450,345261849,344147991,0
64,65,43,86,54,41,73,27,93,101,131768153,99460568,139876032,89166519,113705693,88508515,89157606,89217927,123854991,100883708,0
64,107,72,12,38,87,109,98,78,100,49317728,50828662,12231202,172424257,84429681,187824320,177648913,238239590,38628747,40547474,1
68,20,7,47,28,21,100,112,86,19,94049589,26316691,106809101,87586992,94338967,105248644,38628747,94155156,25907144,19672354,1
39,74,62,53,29,9,40,46,58,21,44463405,84772440,33485719,82630959,89699739,3916428,40602549,32995405,34128052,29904110,0
93,51,110,26,95,8,30,47,97,100,157475523,137925613,136186119,88521435,117281554,139280377,111189717,89871557,93616251,114239371,1
79,23,63,52,51,40,60,9,14,29,82327674,88585077,88508515,89217927,90045009,82630959,31818853,87285329,21289303,87382579,1
84,53,23,36,92,5,93,15,51,20,10786208,113708916,115914180,8969983,105194732,132358248,120111123,91480675,86748852,97073485,1
57,78,93,101,7,77,98,20,87,29,75948840,35872887,116985284,109475059,101191101,131117714,164028089,37376765,86738495,85008179,0
107,1,33,13,86,30,15,98,23,94,84853828,94004717,117956848,85937380,37658157,249651648,118207269,384056871,87307430,385750274,1
37,60,114,89,55,108,111,64,59,34,107227595,116782914,111637216,100594231,153749549,150014374,130734784,192380098,179628581,129664262,1
26,35,97,8,50,7,51,101,25,93,86717429,77202346,86698277,97110415,87256141,92028391,124752318,33563971,92214768,48809712,0
41,66,22,101,18,10,20,43,57,53,86726887,47434686,31818853,7910302,67601693,86724433,94923783,118073569,86761836,194818271,0
15,9,68,65,83,63,88,52,47,16,51541746,98914820,89251386,86762037,87442297,91191397,106443009,45614257,91191651,101460882,1
16,17,90,78,103,9,29,69,101,31,94923783,86724433,86761836,118073569,86785102,86744322,91459744,107122342,174654367,98577694,1
79,15,16,77,13,4,27,29,62,19,86750028,92706637,127716304,123820195,76173488,93119769,145550466,86726887,112377459,101450083,0
13,6,30,17,84,44,55,79,48,28,141065684,101908305,136187546,262367336,222189151,175538337,134679634,136624722,136575603,134903105,0
96,8,50,79,64,31,69,22,121,109,92847434,96183976,101446572,111030315,91460772,202148694,254025588,909485668,185996267,187573416,1
6,9,20,29,79,41,76,18,83,26,150243680,199339221,152599441,126896387,115963137,173081440,357471582,168685223,324116338,153081128,1
30,86,58,110,80,7,25,55,100,56,126990492,175400438,145335241,278368720,131330953,126285071,100934654,102488364,119890166,86794404,1
16,15,78,69,79,10,101,47,13,31,142750189,130416036,106863163,125576983,140153524,21289303,101695162,90882159,84772440,113800818,1
11,47,42,20,62,69,26,66,8,74,80266369,46523351,62219903,113985494,161034152,65136158,49508819,59386011,75067330,50943694,0
65,100,61,110,10,93,87,53,20,74,135878232,89423756,134276083,139876032,108376607,93119769,145550466,88933594,112377459,101450083,0
10,91,41,84,74,9,8,87,16,73,333941932,100708765,124523067,153192553,193814063,144758202,157467368,100999528,177722373,122459461,0
41,68,91,70,45,53,110,36,88,17,152962063,54580962,401792574,77490514,86738694,86870856,182993582,237238721,91460772,175463659,1
114,108,101,60,23,48,87,69,43,16,137193239,134276083,89423756,113800818,107803494,114619230,106809101,82305765,70388657,89550641,1
21,1,41,87,26,29,99,13,57,30,197935304,325252998,224969321,288021992,192104631,163058623,112658571,122270749,105046356,44730593,1
26,55,8,21,104,65,60,4,43,30,292884586,208378012,196156418,283838704,319935099,250595187,321104441,206169502,243613748,283285794,1
98,64,8,114,27,63,106,86,5,33,101240880,101208242,100829013,101460882,102085684,97357800,109469423,105338676,100781036,62156123,0
30,77,65,91,39,53,33,18,13,20,176184718,169181898,89550641,117421467,70388657,38628747,94155156,19672354,105248644,25907144,1
69,31,39,64,38,15,96,42,68,11,38628747,94155156,105248644,25907144,19672354,86745912,87276347,87177591,86727555,111620041,1
12,104,62,50,53,54,73,28,60,110,172424257,12231202,50828662,18180970,49317728,72312627,86799300,34505203,82262664,26771994,0
119,31,41,19,73,56,84,88,36,63,110194593,54211014,86845752,86887653,103910993,298683250,35504297,98167706,90180366,86751819,0
87,11,32,55,28,33,63,7,9,37,93552791,112250781,90423751,86785083,123051238,158606677,169359249,23090404,77490514,10288378,1
50,74,69,109,38,43,54,88,26,110,168829831,277742444,278006984,181092754,135389630,130547043,104130823,103330646,149206690,196244721,1
7,33,44,75,2,109,78,84,50,61,173329445,170481274,135748483,134120063,124436772,194521913,100175472,99672424,207421139,86721619,0
15,84,17,68,99,78,55,7,101,93,113078249,115250031,121641248,115207246,190068173,105725681,100396320,100507647,86804163,102528150,0
17,40,87,16,55,25,7,68,1,53,177085220,87360406,86772934,256269737,211884113,107855479,86953414,92949094,95430068,27178898,0
62,93,72,26,71,97,85,7,44,39,112377459,93119769,87012746,89603649,3940262,70388657,176184718,117421467,89625472,86723143,1
10,110,112,107,18,26,29,87,93,94,208722072,185785065,295769743,90553220,123104000,75637300,90551629,121342098,65701131,133408086,1
40,75,107,54,96,97,84,95,25,18,106863163,98878010,107081378,177416702,131237305,397462905,158847773,255219872,160678812,168028715,1
28,25,27,95,32,88,5,74,114,18,138885864,119525384,131043881,186627166,89598554,139937922,114239371,107803494,135384059,139280377,0
51,73,55,46,87,86,8,66,80,97,107644273,26316691,91931211,86840554,93712171,33706185,87201671,38877891,89326318,86750262,1
54,76,55,92,91,73,60,31,13,87,91934257,91701543,94051964,78354332,113996989,114050181,55065530,111130968,145573862,44933142,1
32,16,87,54,49,50,29,72,12,20,113331514,86785083,182993582,132851371,86750262,87278757,87276347,43276219,86745912,6922000,1
54,56,101,84,29,22,7,71,53,68,174867339,91409448,105040222,91958022,182904093,96415341,129493387,86748054,102712376,113922178,1
35,85,39,95,26,2,67,57,101,43,49317728,50828662,94155156,87293485,5448108,86715129,84105632,8591574,58134384,74040691,0
20,11,68,51,8,91,101,39,19,2,139876032,113055496,89166519,99460568,113705693,100471531,102085684,101208242,91191397,91191651,1
20,87,13,109,28,65,16,98,54,111,178032556,181894940,116094746,62533910,121769650,86698277,20321748,19757254,88719902,114817642,0
84,79,15,16,109,93,31,54,2,32,89423756,113800818,135878232,134276083,84772440,93119769,145550466,101450083,88933594,112377459,1
52,41,49,16,68,37,72,21,60,57,85375207,50580004,237610210,69602973,867055953,254025588,390217220,195254520,66620961,86723143,1
8,26,98,17,7,84,22,20,94,41,244075775,194445204,345064220,160053557,150070542,158596836,210893847,169871939,172439371,150058889,1
28,87,52,54,74,111,43,8,55,107,98878010,136186119,98887913,148215639,90882159,117990312,168028715,114031486,89246836,158847773,1
104,12,78,106,91,28,18,87,107,25,86726887,43276219,40547474,86799300,6922000,87012746,117281554,82327674,139876032,149486894,1
38,26,1,69,34,110,30,93,71,22,123787524,123444610,53178236,11550182,86840554,106809101,91064780,89269794,94338967,250114507,0
87,74,16,88,20,90,70,25,53,62,82327674,149486894,87012746,139876032,117281554,92949094,95430068,107855479,27178898,86953414,1
5,62,80,34,66,58,86,43,28,21,38515149,10366616,40547474,5448108,86861882,41288955,91988610,87285329,87382579,87264171,1
15,21,84,102,72,58,55,73,76,5,31097999,92016757,55503522,20378728,53500487,2967020,25329387,36248930,866979,7219921,1
92,28,68,78,89,98,41,95,87,23,98092287,100058342,98167706,24009418,87197791,187573416,90324740,116881520,107023378,105040222,1
51,25,27,72,50,84,8,21,97,26,128631750,214057835,110032698,111573503,195166860,131697164,106787963,89832155,74401935,68785865,0
29,26,34,38,17,93,111,41,9,73,168450687,235103291,126694445,136390858,167372590,138543123,140766135,211883623,141689679,136683492,0
13,68,25,6,100,55,21,50,77,7,92214768,92028391,65166008,136214996,94439767,176988393,92477990,6103402,178032556,86040272,0
27,58,79,60,10,7,78,5,21,1,66254722,45064222,64331867,87590874,1185644,88704095,86747757,58017868,88792641,69325073,0
93,22,111,112,41,13,16,79,107,109,132291754,115141430,70673409,102119379,10366616,94004717,117956848,37658157,84853828,85937380,1
29,16,49,10,50,46,65,86,83,43,92331184,86741690,92145869,61061435,92164306,93119769,88933594,102525542,105599955,3940262,0
26,56,11,99,83,29,3,19,13,91,96518454,104036177,102731065,86744511,92773986,103735745,38246322,88223436,117631762,86748648,1
93,68,29,43,16,96,19,91,47,31,113705693,131768153,99460568,139876032,89166519,21289303,84772440,101695162,90882159,113800818,0
65,39,62,64,72,33,51,47,27,8,443590438,113068093,126598297,349719643,204019241,91369376,89249333,121052479,82630959,91644707,0
52,89,72,46,29,79,76,51,73,7,89296893,88521435,89246836,89423756,99460568,98990801,92752419,108454598,103911225,116766686,1
55,87,4,41,100,109,39,23,50,28,34505203,101356886,105248644,72312627,82262664,148215639,90882159,119576842,114239371,111189717,1
47,83,78,27,109,87,69,3,19,52,205813150,140153524,129958758,207829314,139280377,107081378,342340720,205239629,376376587,139822354,0
97,40,28,106,104,70,107,74,33,5,93289364,151550803,133084797,117587043,114031486,262367336,222189151,110090274,211284773,136187546,0
22,17,42,93,99,50,71,11,26,2,199468172,283772702,206121058,182907324,205968401,154322121,199498836,237432066,168110496,290595114,0
57,18,98,83,30,79,84,6,70,28,93119769,112377459,110539311,145550466,102525542,94296097,119576842,126417273,113457795,101525357,0
91,44,101,104,97,77,20,96,47,68,100028335,114428111,91460772,86785083,113372833,84254086,93830657,184207253,91669929,71503085,1
38,56,30,74,69,43,65,107,109,20,87382579,86725175,103735745,86700461,84429681,80929738,139937922,101695162,139280377,114239371,0
48,38,39,103,101,35,113,50,29,62,40547474,86726887,43276219,47434686,87196890,86725175,86700461,103735745,38628747,87382579,1
11,100,105,15,62,92,39,86,4,13,31818853,104275965,20441493,177648913,106497354,187460462,38057824,92706637,86768178,87276347,0
98,71,86,92,25,7,106,109,60,112,110539311,34322358,201741490,91369376,171775246,93616251,245373129,43276219,102099826,6922000,1
17,91,19,75,71,39,47,54,20,87,113705693,139876032,113055496,89166519,99460568,136477860,139937922,182325064,103940975,158719194,0
114,65,85,7,11,3,63,86,55,49,177416702,98878010,89399750,101695162,106863163,113800818,137193239,89423756,134276083,107803494,1
41,6,21,92,31,103,9,29,104,106,92508984,104055297,146485028,121668454,101740855,146772593,6103402,40209325,100317750,53151216,1
48,20,58,96,49,28,62,9,51,106,103203845,140153524,132239985,124566285,117281554,143385139,134729228,131237305,139266129,101375717,0
16,46,82,50,98,78,42,9,62,10,104853183,137762133,167045249,130374125,165670215,102403721,167696890,128248510,129076476,175306783,0
37,57,48,107,2,97,74,75,8,84,303568400,382453359,283857054,126323933,143356903,111392103,125814840,86940305,104512126,127077041,1
74,101,73,41,99,9,47,20,106,96,89246836,88553213,82327674,88585077,90045009,114239371,136477860,89371588,98878010,123854991,0
