hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10,account_1,account_2,account_3,account_4,account_5,account_6,account_7,account_8,account_9,account_10,is_win
28,34,112,8,58,54,55,89,87,9,121917409,113457795,119576842,126417273,101598503,113825167,121052479,108717482,93670407,89268488,0
78,42,101,74,8,9,32,7,51,87,108072218,153946438,122798735,120303454,115247153,115423859,209640209,103072159,133760235,114372425,1
84,96,87,8,21,26,63,107,48,76,161517782,130856274,201458115,150146383,107887080,186059917,209454589,116785450,345261849,344147991,0
64,65,43,86,54,41,73,27,93,101,131768153,99460568,139876032,89166519,113705693,88508515,89157606,89217927,123854991,100883708,0
68,20,7,47,28,21,100,112,86,19,94049589,26316691,106809101,87586992,94338967,105248644,38628747,94155156,25907144,19672354,1
41,66,22,101,18,10,20,43,57,53,86726887,47434686,31818853,7910302,67601693,86724433,94923783,118073569,86761836,194818271,0
13,6,30,17,84,44,55,79,48,28,141065684,101908305,136187546,262367336,222189151,175538337,134679634,136624722,136575603,134903105,0
30,77,65,91,39,53,33,18,13,20,176184718,169181898,89550641,117421467,70388657,38628747,94155156,19672354,105248644,25907144,1
87,11,32,55,28,33,63,7,9,37,93552791,112250781,90423751,86785083,123051238,158606677,169359249,23090404,77490514,10288378,1
50,74,69,109,38,43,54,88,26,110,168829831,277742444,278006984,181092754,135389630,130547043,104130823,103330646,149206690,196244721,1
62,93,72,26,71,97,85,7,44,39,112377459,93119769,87012746,89603649,3940262,70388657,176184718,117421467,89625472,86723143,1
51,73,55,46,87,86,8,66,80,97,107644273,26316691,91931211,86840554,93712171,33706185,87201671,38877891,89326318,86750262,1
54,56,101,84,29,22,7,71,53,68,174867339,91409448,105040222,91958022,182904093,96415341,129493387,86748054,102712376,113922178,1
20,11,68,51,8,91,101,39,19,2,139876032,113055496,89166519,99460568,113705693,100471531,102085684,101208242,91191397,91191651,1
20,87,13,109,28,65,16,98,54,111,178032556,181894940,116094746,62533910,121769650,86698277,20321748,19757254,88719902,114817642,0
28,87,52,54,74,111,43,8,55,107,98878010,136186119,98887913,148215639,90882159,117990312,168028715,114031486,89246836,158847773,1
104,12,78,106,91,28,18,87,107,25,86726887,43276219,40547474,86799300,6922000,87012746,117281554,82327674,139876032,149486894,1
5,62,80,34,66,58,86,43,28,21,38515149,10366616,40547474,5448108,86861882,41288955,91988610,87285329,87382579,87264171,1
51,25,27,72,50,84,8,21,97,26,128631750,214057835,110032698,111573503,195166860,131697164,106787963,89832155,74401935,68785865,0
97,40,28,106,104,70,107,74,33,5,93289364,151550803,133084797,117587043,114031486,262367336,222189151,110090274,211284773,136187546,0
57,18,98,83,30,79,84,6,70,28,93119769,112377459,110539311,145550466,102525542,94296097,119576842,126417273,113457795,101525357,0
48,38,39,103,101,35,113,50,29,62,40547474,86726887,43276219,47434686,87196890,86725175,86700461,103735745,38628747,87382579,1
11,100,105,15,62,92,39,86,4,13,31818853,104275965,20441493,177648913,106497354,187460462,38057824,92706637,86768178,87276347,0
98,71,86,92,25,7,106,109,60,112,110539311,34322358,201741490,91369376,171775246,93616251,245373129,43276219,102099826,6922000,1
114,65,85,7,11,3,63,86,55,49,177416702,98878010,89399750,101695162,106863163,113800818,137193239,89423756,134276083,107803494,1
41,6,21,92,31,103,9,29,104,106,92508984,104055297,146485028,121668454,101740855,146772593,6103402,40209325,100317750,53151216,1
16,46,82,50,98,78,42,9,62,10,104853183,137762133,167045249,130374125,165670215,102403721,167696890,128248510,129076476,175306783,0
36,100,4,16,40,60,55,50,13,10,92231506,8591574,92706637,124168390,38057824,97975407,128214794,94923783,28070572,122633513,0
50,28,74,80,51,110,21,106,54,69,85805514,145550466,154715080,315657960,30237211,49317728,86811043,141690233,84429681,50828662,1
36,64,51,76,9,20,68,41,106,60,176474890,151288514,100702264,146603679,108446867,229387686,203815535,176320695,330731075,240725371,1
12,72,41,103,87,26,20,29,106,74,180012313,154715080,323792491,155494381,91654584,101598503,119576842,121917409,126417273,113457795,0
