hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10,account_1,account_2,account_3,account_4,account_5,account_6,account_7,account_8,account_9,account_10,is_win
57,39,52,100,72,19,91,18,86,15,24009418,86700461,87197791,98167706,100058342,86802844,98172857,245373129,75750590,169181898,1
5,23,11,57,67,28,88,30,56,74,31447369,86169030,49274352,82302800,108680138,84354431,126212866,101963914,244705632,58513047,0
93,79,23,97,55,76,84,96,65,50,40013910,400183,16769223,88271237,89558517,42989814,23883296,97590558,43619695,26682464,0
8,74,84,16,64,32,86,70,13,76,94738847,161857389,163879323,130291678,240727522,111114687,102644565,129585121,118134220,101586543,0
50,35,20,39,2,40,30,41,34,85,97904595,122642186,73221872,101095454,117323173,146581440,116294424,101186266,103293863,84909285,0
68,96,20,8,47,26,65,40,22,41,5448108,86715129,41470731,115975133,67601693,87382579,88719902,86799300,19672354,43276219,0
9,76,66,3,51,86,15,98,19,92,1185644,29904110,87196890,86727555,3246092,2922040,36262367,32173251,44091499,54589054,1
88,80,30,13,109,27,23,76,57,114,89423756,134276083,113800818,107803494,137193239,94296097,101695162,106863163,94738847,177416702,0
21,81,65,64,87,46,86,66,29,18,21265941,100317750,8712306,94155156,19672354,20321748,85375207,85783343,39226957,27060872,1
77,17,29,52,79,106,87,2,50,46,91364912,113533913,56814206,86822569,29574284,92949094,78193520,87865865,96589198,91449859,0
105,110,25,5,12,67,46,50,7,62,40547474,30237211,108452107,87423323,67601693,177648913,31818853,87196890,86726887,47434686,0
17,38,16,68,72,47,62,57,109,87,250114507,91064780,66620961,298726580,116249155,136477860,110228930,92590479,101908305,116852311,0
11,68,2,20,97,26,6,39,99,50,111891390,100858909,134518518,101609459,109325142,206955874,147363202,118401226,187017029,123284854,1
106,68,41,9,79,10,99,16,101,15,92551671,86741304,189502087,96708830,94121743,101312582,86802063,91369376,76904792,51541746,0
12,51,75,65,11,68,77,104,94,16,371082984,438561676,414842722,444801057,843065405,186837494,370141815,407321629,153836240,182492319,1
